random_seed,requested_duration_s,campaign,x_parameter,x_value,y_parameter,y_value,failure_mode,time_to_failure_s,maximum_abs_roll_deg,maximum_abs_pitch_deg,maximum_abs_angle_of_attack_deg,stall_fraction,aileron_saturation_fraction,elevator_saturation_fraction,throttle_saturation_fraction,cruise_velocity_m_s,trial,completed_duration_s,waypoints_completed,laps_completed,success,cross_track_rmse_m,altitude_rmse_m,airspeed_rmse_m_s,mean_airspeed_m_s,minimum_altitude_m,mean_throttle,mass_kg,cla,cd0,thrust_max_n,initial_speed_m_s,initial_heading_rad
7,60.0,safe_protection,protection_low_m_s,2.6,dive_slope,0.0,none,,37.79587907930803,7.49699647721879,7.357452017552144,0.0,0.49909123954925483,0.0,0.0,4.0,0,60.0,15,3.75,1,3.0068448427066494,0.4481802536073163,0.9438847367729405,4.777964581552997,1.8992020954175912,0.3305399637328825,0.065,4.7,0.06,0.3,4.0,1.4288992721907328
7,60.0,safe_protection,protection_low_m_s,2.6,dive_slope,0.0,none,,38.42282134989025,7.546234048441775,7.46329276402375,0.0,0.49363867684478374,0.0,0.0,4.0,1,60.0,15,3.75,0,3.023873614513582,0.4850720278466039,1.0360646366109996,4.868876694133007,1.8799021726028449,0.2923188502396518,0.06577673839752203,4.570952355386659,0.0551469765634464,0.33000624819513635,3.9705706040793256,1.4182988268893335
7,60.0,safe_protection,protection_low_m_s,2.6,dive_slope,0.0,none,,37.927795735584695,7.29167263864137,7.209551862384145,0.0,0.49581970192657215,0.0,0.0,4.0,2,60.0,15,3.75,0,3.0853173278361417,0.4482507249685003,1.0246077439594776,4.887192844284284,1.9120621898709236,0.3333673182614336,0.06428724157605824,4.1638551873761624,0.06636539174031647,0.3114338956812706,4.134814580815061,1.44120695245206
7,60.0,safe_protection,protection_low_m_s,2.6,dive_slope,0.0,none,,37.79127146100361,6.807825510185619,7.391398267866218,0.0,0.49727371864776443,0.0,0.0,4.0,3,60.0,15,3.75,1,3.004083478023946,0.43954447020503135,0.9359474727830388,4.775685326520441,1.9040138044523378,0.3254936666770769,0.06268446121923109,4.336350357380637,0.05515479194800862,0.2820106664684216,4.17178330111812,1.4246835883790174
7,60.0,safe_protection,protection_low_m_s,2.6,dive_slope,0.0,none,,38.09351306987996,8.551517968128435,7.247987114617736,0.0,0.49581970192657215,0.0,0.0,4.0,4,60.0,15,3.75,0,3.077444960168557,0.4516438423049945,1.012811789054319,4.866212656734445,1.914386797348367,0.3231695536298028,0.06381785595855352,4.180630719342732,0.059804869770326875,0.30111774343157194,3.8014708311273617,1.422012753510219
7,60.0,safe_protection,protection_low_m_s,2.6,dive_slope,0.0,none,,37.40887136157045,7.601282553709942,7.451079021867155,0.0,0.5005452562704471,0.0,0.0,4.0,5,60.0,15,3.75,1,2.921069091560468,0.431253529011255,0.8568178540030031,4.682976928368606,1.9414459899612713,0.31898770336840465,0.0624217189570092,4.63370430103694,0.06530633920429904,0.3086503437550528,3.8808036451019428,1.390010992718187
7,60.0,safe_protection,protection_low_m_s,2.6,dive_slope,0.0,none,,38.15264603280011,7.4008282305205,7.316415811813046,0.0,0.4954561977462741,0.0,0.0,4.0,6,60.0,15,3.75,0,3.0923116478562376,0.45750355360989386,1.0313005430470406,4.881140608017379,1.892815165213624,0.3263498949854678,0.06515637336675334,4.342580092232875,0.056498397403540186,0.2971682681197388,4.097035513386014,1.428497097086861
7,60.0,safe_protection,protection_low_m_s,2.6,dive_slope,0.0,none,,38.17358040093699,9.139180044325693,7.261083848388232,0.0,0.4961832061068702,0.0,0.0,4.0,7,60.0,15,3.75,0,3.094090153801828,0.4773404939734211,1.0555224047813336,4.901249308455397,1.9108843472449275,0.3367920001408217,0.06848455963844179,4.77649654918772,0.05932978830249504,0.3102436540079281,3.701137032373826,1.4134153665088793
7,60.0,safe_protection,protection_low_m_s,2.6,dive_slope,0.0,none,,37.614582253468676,7.550234228084077,7.4458088786595225,0.0,0.49981824790985097,0.0,0.0,4.0,8,60.0,15,3.75,1,2.943202655923616,0.43774108858764393,0.884589005256703,4.710257342360999,1.911865975126324,0.32529728654810725,0.06372026305176655,4.744203806428032,0.06066278485949688,0.2990022401977588,3.930524520257145,1.4696048105776907
7,60.0,safe_protection,protection_low_m_s,2.6,dive_slope,0.0,none,,37.70789786589858,7.258310118284247,7.484614532181983,0.0,0.4994547437295529,0.0,0.0,4.0,9,60.0,15,3.75,1,2.9632696144602537,0.44751969557339555,0.9024679762631449,4.726482515394091,1.9125618728812634,0.3107950723118515,0.06338676526046816,4.647285473614353,0.060382690645530375,0.31000871341251496,3.9854069611494864,1.4516963615488432
